author,claps,responses,title,link,sentiment
,0,0,,https://medium.com/m/signin?operation=register&redirect=https%3A%2F%2Fmedium.com%2Fnew-story&source=---top_nav_layout_nav-----------------------new_post_topnav-----------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2Fa88011d0a795&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40serg_gardner%2Fhow-to-secretly-locate-where-is-my-husband-right-now-a88011d0a795&source=---recommended_stories---phone---7-85----------------bookmark_preview----d57aa753_8d07_4d40_96a0_59ad8261be59-------,
Allison Sigmon,0,28,Two Months with my Flip Phone,https://medium.com/@allisonsigmon/two-months-with-my-flip-phone-35f46c7acc7a?source=topic_portal---recommended_stories---phone---3-107--------------------d57aa753_8d07_4d40_96a0_59ad8261be59-------,Neutral
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2Fsignedin%2Fsubscriptions%2Ftag%2Fphone%3FfollowSource%3Dtopics_v2&operation=register&redirect=https%3A%2F%2Fmedium.com%2Ftag%2Fphone&source=------phone--------------------follow_tag-----------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F48351f53e4a3&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40sahi0228%2Fphone-in-todays-world-smartphones-are-indispensable-tools-that-significantly-impact-our-daily-48351f53e4a3&source=---recommended_stories---phone---5-84----------------bookmark_preview----d57aa753_8d07_4d40_96a0_59ad8261be59-------,
,0,0,,https://medium.com/m/signin?operation=login&redirect=https%3A%2F%2Fmedium.com%2Ftag%2Fphone&source=login---top_nav_layout_nav-----------------------global_nav-----------,
Bell Peterkin,0,18,Nine iOS 18.0.1 Features You’ve Never Used,https://medium.com/illumination/nine-ios-18-0-1-features-youve-probably-never-used-109cda3bdc80?source=topic_portal---recommended_stories---phone---1-107--------------------d57aa753_8d07_4d40_96a0_59ad8261be59-------,Neutral
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2Fcba7d78b8393&operation=register&redirect=https%3A%2F%2Fmedium.com%2Fdigital-global-traveler%2Flost-in-transit-a-phone-an-uber-driver-and-a-superhero-wife-cba7d78b8393&source=---recommended_stories---phone---6-107----------------bookmark_preview----d57aa753_8d07_4d40_96a0_59ad8261be59-------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F257051244cdf&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40saiyedla4%2Foneplus-redefining-technology-and-innovation-257051244cdf&source=---recommended_stories---phone---2-85----------------bookmark_preview----d57aa753_8d07_4d40_96a0_59ad8261be59-------,
Sahi✍🏼,0,5,,https://medium.com/@sahi0228/phone-in-todays-world-smartphones-are-indispensable-tools-that-significantly-impact-our-daily-48351f53e4a3?source=topic_portal---recommended_stories---phone---5-84--------------------d57aa753_8d07_4d40_96a0_59ad8261be59-------,
Serg Gardner,0,15,How to Secretly Locate Where is My Husband Right Now?,https://medium.com/@serg_gardner/how-to-secretly-locate-where-is-my-husband-right-now-a88011d0a795?source=topic_portal---recommended_stories---phone---7-85--------------------d57aa753_8d07_4d40_96a0_59ad8261be59-------,Negative
Serg Gardner,0,4,How to Find Hidden Stuff on Boyfriend’s Phone Without Detection,https://medium.com/@serg_gardner/how-to-find-hidden-stuff-on-boyfriends-phone-without-detection-148941049a5b?source=topic_portal---recommended_stories---phone---4-85--------------------d57aa753_8d07_4d40_96a0_59ad8261be59-------,Negative
,0,0,,https://medium.com/search?source=---top_nav_layout_nav----------------------------------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2Fd0b159081cf4&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40mttsus%2Fhave-you-ever-wondered-what-that-tiny-hole-next-to-the-rear-camera-on-your-iphone-is-for-d0b159081cf4&source=---recommended_stories---phone---0-84----------------bookmark_preview----d57aa753_8d07_4d40_96a0_59ad8261be59-------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F35f46c7acc7a&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40allisonsigmon%2Ftwo-months-with-my-flip-phone-35f46c7acc7a&source=---recommended_stories---phone---3-107----------------bookmark_preview----d57aa753_8d07_4d40_96a0_59ad8261be59-------,
Sai Yedla,0,33,OnePlus: Redefining Technology and Innovation,https://medium.com/@saiyedla4/oneplus-redefining-technology-and-innovation-257051244cdf?source=topic_portal---recommended_stories---phone---2-85--------------------d57aa753_8d07_4d40_96a0_59ad8261be59-------,Neutral
Murphy's Law,0,32,"Lost in Transit: A Phone, An Uber Driver, And A Superhero Wife",https://medium.com/digital-global-traveler/lost-in-transit-a-phone-an-uber-driver-and-a-superhero-wife-cba7d78b8393?source=topic_portal---recommended_stories---phone---6-107--------------------d57aa753_8d07_4d40_96a0_59ad8261be59-------,Neutral
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F109cda3bdc80&operation=register&redirect=https%3A%2F%2Fmedium.com%2Fillumination%2Fnine-ios-18-0-1-features-youve-probably-never-used-109cda3bdc80&source=---recommended_stories---phone---1-107----------------bookmark_preview----d57aa753_8d07_4d40_96a0_59ad8261be59-------,
mttsus,0,1,,https://medium.com/@mttsus/have-you-ever-wondered-what-that-tiny-hole-next-to-the-rear-camera-on-your-iphone-is-for-d0b159081cf4?source=topic_portal---recommended_stories---phone---0-84--------------------d57aa753_8d07_4d40_96a0_59ad8261be59-------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F148941049a5b&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40serg_gardner%2Fhow-to-find-hidden-stuff-on-boyfriends-phone-without-detection-148941049a5b&source=---recommended_stories---phone---4-85----------------bookmark_preview----d57aa753_8d07_4d40_96a0_59ad8261be59-------,
